# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
4.50000000000e-01 2.35754514138e+01 4.10193743510e-08 3.48707414150e-03 2.00528651314e-10 1.99651146435e-10 3.98954041923e-10 9.77180709909e+00 3.83627313099e-02
4.60000000000e-01 2.30452884902e+01 5.17859962211e-08 3.82476309951e-03 2.00529233130e-10 1.99655201842e-10 3.98860225888e-10 9.99482099114e+00 3.94095168654e-02
4.70000000000e-01 2.25226211140e+01 6.50352938905e-08 4.16698845624e-03 2.00529780255e-10 1.99659330311e-10 3.98778034309e-10 1.02332316781e+01 4.06358635695e-02
4.80000000000e-01 2.20074109184e+01 8.12516326353e-08 4.51042534145e-03 2.00530295104e-10 1.99663533940e-10 3.98707579700e-10 1.04879123199e+01 4.20574037273e-02
4.90000000000e-01 2.14985055205e+01 1.00993017623e-07 4.85188892682e-03 2.00530779904e-10 1.99667814906e-10 3.98648807729e-10 1.07599182030e+01 4.36884820042e-02
5.00000000000e-01 2.09939775822e+01 1.24896446660e-07 5.18843043497e-03 2.00531236710e-10 1.99672175467e-10 3.98601513106e-10 1.10504506629e+01 4.55418913537e-02
5.10000000000e-01 2.04914955566e+01 1.53681689501e-07 5.51741307361e-03 2.00531667420e-10 1.99676617969e-10 3.98565359003e-10 1.13608132399e+01 4.76286764602e-02
5.20000000000e-01 1.99886724429e+01 1.88152909275e-07 5.83656537146e-03 2.00532073790e-10 1.99681144845e-10 3.98539898883e-10 1.16923675018e+01 4.99579920374e-02
5.30000000000e-01 1.94833582810e+01 2.29197579829e-07 6.14401151000e-03 2.00532457439e-10 1.99685758619e-10 3.98524599507e-10 1.20464920624e+01 5.25370015688e-02
5.40000000000e-01 1.89738608004e+01 2.77782253209e-07 6.43828011053e-03 2.00532819869e-10 1.99690461915e-10 3.98518863937e-10 1.24245446050e+01 5.53708056458e-02
5.50000000000e-01 1.84590916390e+01 3.34944903737e-07 6.71829435409e-03 2.00533162466e-10 1.99695257454e-10 3.98522053511e-10 1.28278247382e+01 5.84623956131e-02
5.60000000000e-01 1.79386425751e+01 4.01783814490e-07 6.98334719392e-03 2.00533486517e-10 1.99700148062e-10 3.98533507945e-10 1.32575354575e+01 6.18126350042e-02
5.70000000000e-01 1.74127990936e+01 4.79443261927e-07 7.23306577298e-03 2.00533793212e-10 1.99705136673e-10 3.98552563010e-10 1.37147423980e+01 6.54202759697e-02
5.80000000000e-01 1.68825000270e+01 5.69096557366e-07 7.46736906429e-03 2.00534083656e-10 1.99710226330e-10 3.98578565440e-10 1.42003318918e+01 6.92820193419e-02
5.90000000000e-01 1.63492532850e+01 6.71927276862e-07 7.68642232780e-03 2.00534358872e-10 1.99715420194e-10 3.98610884960e-10 1.47149703695e+01 7.33926250725e-02
6.00000000000e-01 1.58150192193e+01 7.89109706937e-07 7.89059135484e-03 2.00534619811e-10 1.99720721544e-10 3.98648923503e-10 1.52590683845e+01 7.77450753516e-02
6.10000000000e-01 1.52820743989e+01 9.21789619451e-07 8.08039876824e-03 2.00534867357e-10 1.99726133780e-10 3.98692121830e-10 1.58327524536e+01 8.23307870895e-02
6.20000000000e-01 1.47528688889e+01 1.07106644944e-06 8.25648395291e-03 2.00535102331e-10 1.99731660432e-10 3.98739963832e-10 1.64358471664e+01 8.71398649890e-02
6.30000000000e-01 1.42298891377e+01 1.23797779428e-06 8.41956757195e-03 2.00535325495e-10 1.99737305155e-10 3.98791978868e-10 1.70678689258e+01 9.21613822650e-02
6.40000000000e-01 1.37155363654e+01 1.42348690805e-06 8.57042111019e-03 2.00535537561e-10 1.99743071743e-10 3.98847742484e-10 1.77280314951e+01 9.73836738147e-02
6.50000000000e-01 1.32120272943e+01 1.62847357389e-06 8.70984149205e-03 2.00535739188e-10 1.99748964122e-10 3.98906875857e-10 1.84152624815e+01 1.02794626445e-01
6.60000000000e-01 1.27213207370e+01 1.85372844195e-06 8.83863053946e-03 2.00535930995e-10 1.99754986360e-10 3.98969044288e-10 1.91282290894e+01 1.08381952353e-01
6.70000000000e-01 1.22450704942e+01 2.09995065875e-06 8.95757885419e-03 2.00536113554e-10 1.99761142667e-10 3.99033954993e-10 1.98653709772e+01 1.14133434903e-01
6.80000000000e-01 1.17846025655e+01 2.36774841259e-06 9.06745360817e-03 2.00536287402e-10 1.99767437398e-10 3.99101354460e-10 2.06249378552e+01 1.20037139231e-01
6.90000000000e-01 1.13409130465e+01 2.65764188893e-06 9.16898968691e-03 2.00536453039e-10 1.99773875055e-10 3.99171025532e-10 2.14050294986e+01 1.26081583750e-01
7.00000000000e-01 1.09146822437e+01 2.97006806991e-06 9.26288363621e-03 2.00536610932e-10 1.99780460286e-10 3.99242784378e-10 2.22036360808e+01 1.32255871826e-01
7.10000000000e-01 1.05063003848e+01 3.30538681323e-06 9.34978989620e-03 2.00536761517e-10 1.99787197890e-10 3.99316477466e-10 2.30186770698e+01 1.38549785436e-01
7.20000000000e-01 1.01159006362e+01 3.66388769113e-06 9.43031885786e-03 2.00536905203e-10 1.99794092809e-10 3.99391978621e-10 2.38480373321e+01 1.44953844434e-01
7.30000000000e-01 9.74339577042e+00 4.04579714529e-06 9.50503633591e-03 2.00537042370e-10 1.99801150135e-10 3.99469186225e-10 2.46895994924e+01 1.51459336139e-01
7.40000000000e-01 9.38851559812e+00 4.45128560164e-06 9.57446411224e-03 2.00537173377e-10 1.99808375097e-10 3.99548020592e-10 2.55412719742e+01 1.58058320442e-01
7.50000000000e-01 9.05084304828e+00 4.88047427955e-06 9.63908126259e-03 2.00537298558e-10 1.99815773065e-10 3.99628421555e-10 2.64010124767e+01 1.64743615592e-01
7.60000000000e-01 8.72984748394e+00 5.33344151284e-06 9.69932603164e-03 2.00537418226e-10 1.99823349533e-10 3.99710346254e-10 2.72668469030e+01 1.71508769501e-01
7.70000000000e-01 8.42491442462e+00 5.81022847283e-06 9.75559806939e-03 2.00537532675e-10 1.99831110119e-10 3.99793767144e-10 2.81368839594e+01 1.78348020834e-01
7.80000000000e-01 8.13537130339e+00 6.31084424104e-06 9.80826088162e-03 2.00537642182e-10 1.99839060544e-10 3.99878670208e-10 2.90093257815e+01 1.85256253497e-01
7.90000000000e-01 7.86050921918e+00 6.83527022416e-06 9.85764438135e-03 2.00537747004e-10 1.99847206620e-10 3.99965053364e-10 2.98824750291e+01 1.92228947492e-01
8.00000000000e-01 7.59960087054e+00 7.38346393537e-06 9.90404745669e-03 2.00537847386e-10 1.99855554229e-10 4.00052925063e-10 3.07547389328e+01 1.99262128426e-01
8.10000000000e-01 7.35191499584e+00 7.95536218719e-06 9.94774049266e-03 2.00537943555e-10 1.99864109298e-10 4.00142303051e-10 3.16246307818e+01 2.06352317448e-01
8.20000000000e-01 7.11672771721e+00 8.55088375296e-06 9.98896780332e-03 2.00538035727e-10 1.99872877769e-10 4.00233213292e-10 3.24907693221e+01 2.13496482856e-01
8.30000000000e-01 6.89333121035e+00 9.16993156025e-06 1.00279499446e-02 2.00538124103e-10 1.99881865565e-10 4.00325689031e-10 3.33518765024e+01 2.20691994232e-01
8.40000000000e-01 6.68104011474e+00 9.81239447967e-06 1.00648858894e-02 2.00538208873e-10 1.99891078542e-10 4.00419769982e-10 3.42067739535e+01 2.27936579658e-01
8.50000000000e-01 6.47919607152e+00 1.04781487706e-05 1.00999550548e-02 2.00538290217e-10 1.99900522446e-10 4.00515501634e-10 3.50543785434e+01 2.35228286276e-01
8.60000000000e-01 6.28717073723e+00 1.11670592406e-05 1.01333191777e-02 2.00538368302e-10 1.99910202847e-10 4.00612934657e-10 3.58936972917e+01 2.42565444318e-01
8.70000000000e-01 6.10436757874e+00 1.18789801698e-05 1.01651240407e-02 2.00538443289e-10 1.99920125075e-10 4.00712124396e-10 3.67238218850e+01 2.49946634564e-01
8.80000000000e-01 5.93022271029e+00 1.26137560449e-05 1.01955010499e-02 2.00538515326e-10 1.99930294139e-10 4.00813130448e-10 3.75439229819e+01 2.57370659102e-01
8.90000000000e-01 5.76420499242e+00 1.33712221428e-05 1.02245686748e-02 2.00538584556e-10 1.99940714635e-10 4.00916016307e-10 3.83532444631e+01 2.64836515204e-01
9.00000000000e-01 5.60581557436e+00 1.41512049956e-05 1.02524337540e-02 2.00538651111e-10 1.99951390642e-10 4.01020849073e-10 3.91510977405e+01 2.72343372104e-01
9.10000000000e-01 5.45458702788e+00 1.49535227660e-05 1.02791926788e-02 2.00538715118e-10 1.99962325608e-10 4.01127699211e-10 3.99368562132e+01 2.79890550430e-01
9.20000000000e-01 5.31008219199e+00 1.57779855560e-05 1.03049324616e-02 2.00538776696e-10 1.99973522213e-10 4.01236640367e-10 4.07099499304e+01 2.87477504043e-01
9.30000000000e-01 5.17189282271e+00 1.66243956663e-05 1.03297316987e-02 2.00538835958e-10 1.99984982224e-10 4.01347749212e-10 4.14698605042e+01 2.95103804062e-01
9.40000000000e-01 5.03963812251e+00 1.74925478242e-05 1.03536614369e-02 2.00538893009e-10 1.99996706335e-10 4.01461105340e-10 4.22161162945e+01 3.02769124823e-01
9.50000000000e-01 4.91296320628e+00 1.83822293890e-05 1.03767859518e-02 2.00538947951e-10 2.00008693986e-10 4.01576791182e-10 4.29482878798e+01 3.10473231569e-01
9.60000000000e-01 4.79153754750e+00 1.92932205475e-05 1.03991634460e-02 2.00539000880e-10 2.00020943174e-10 4.01694891962e-10 4.36659838141e+01 3.18215969680e-01
9.70000000000e-01 4.67505343716e+00 2.02252945040e-05 1.04208466755e-02 2.00539051884e-10 2.00033450250e-10 4.01815495667e-10 4.43688466661e+01 3.25997255253e-01
9.80000000000e-01 4.56322447879e+00 2.11782176729e-05 1.04418835097e-02 2.00539101051e-10 2.00046209703e-10 4.01938693051e-10 4.50565493294e+01 3.33817066864e-01
9.90000000000e-01 4.45578413657e+00 2.21517498758e-05 1.04623174336e-02 2.00539148460e-10 2.00059213944e-10 4.02064577648e-10 4.57287915884e+01 3.41675438392e-01
1.00000000000e+00 4.35248434745e+00 2.31456445475e-05 1.04821879964e-02 2.00539194190e-10 2.00072453082e-10 4.02193245812e-10 4.63852969252e+01 3.49572452741e-01
1.01000000000e+00 4.25309420450e+00 2.41596489519e-05 1.05015312128e-02 2.00539238312e-10 2.00085914710e-10 4.02324796765e-10 4.70258095480e+01 3.57508236374e-01
1.02000000000e+00 4.15739871518e+00 2.51935044091e-05 1.05203799217e-02 2.00539280896e-10 2.00099583706e-10 4.02459332665e-10 4.76500916228e+01 3.65482954538e-01
1.03000000000e+00 4.06519763595e+00 2.62469465350e-05 1.05387641069e-02 2.00539322008e-10 2.00113442052e-10 4.02596958684e-10 4.82579206900e+01 3.73496807101e-01
1.04000000000e+00 3.97630438276e+00 2.73197054915e-05 1.05567111839e-02 2.00539361710e-10 2.00127468687e-10 4.02737783101e-10 4.88490872472e+01 3.81550024924e-01
1.05000000000e+00 3.89054501587e+00 2.84115062494e-05 1.05742462556e-02 2.00539400062e-10 2.00141639415e-10 4.02881917405e-10 4.94233924808e+01 3.89642866686e-01
1.06000000000e+00 3.80775729619e+00 2.95220688618e-05 1.05913923412e-02 2.00539437119e-10 2.00155926860e-10 4.03029476405e-10 4.99806461296e+01 3.97775616121e-01
1.07000000000e+00 3.72778981015e+00 3.06511087472e-05 1.06081705813e-02 2.00539472936e-10 2.00170300504e-10 4.03180578354e-10 5.05206644643e+01 4.05948579596e-01
1.08000000000e+00 3.65050115939e+00 3.17983369822e-05 1.06246004207e-02 2.00539507563e-10 2.00184726800e-10 4.03335345084e-10 5.10432683681e+01 4.14162084006e-01
1.09000000000e+00 3.57575921149e+00 3.29634606020e-05 1.06406997717e-02 2.00539541049e-10 2.00199169383e-10 4.03493902143e-10 5.15482815050e+01 4.22416474922e-01
1.10000000000e+00 3.50344040798e+00 3.41461829078e-05 1.06564851611e-02 2.00539573440e-10 2.00213589386e-10 4.03656378946e-10 5.20355285609e+01 4.30712114975e-01
1.11000000000e+00 3.43342912566e+00 3.53462037800e-05 1.06719718611e-02 2.00539604780e-10 2.00227945855e-10 4.03822908936e-10 5.25048335484e+01 4.39049382444e-01
1.12000000000e+00 3.36561708760e+00 3.65632199955e-05 1.06871740067e-02 2.00539635111e-10 2.00242196267e-10 4.03993629747e-10 5.29560181606e+01 4.47428670016e-01
1.13000000000e+00 3.29990282010e+00 3.77969255487e-05 1.07021047010e-02 2.00539664473e-10 2.00256297143e-10 4.04168683385e-10 5.33889001667e+01 4.55850383694e-01
1.14000000000e+00 3.23619115224e+00 3.90470119743e-05 1.07167761094e-02 2.00539692904e-10 2.00270204736e-10 4.04348216405e-10 5.38032918366e+01 4.64314941849e-01
1.15000000000e+00 3.17439275472e+00 4.03131686714e-05 1.07311995446e-02 2.00539720440e-10 2.00283875780e-10 4.04532380111e-10 5.41989983876e+01 4.72822774380e-01
1.16000000000e+00 3.11442371489e+00 4.15950832266e-05 1.07453855422e-02 2.00539747117e-10 2.00297268264e-10 4.04721330754e-10 5.45758164430e+01 4.81374321976e-01
1.17000000000e+00 3.05620514518e+00 4.28924417364e-05 1.07593439291e-02 2.00539772966e-10 2.00310342208e-10 4.04915229742e-10 5.49335324955e+01 4.89970035472e-01
1.18000000000e+00 2.99966282218e+00 4.42049291273e-05 1.07730838852e-02 2.00539798019e-10 2.00323060401e-10 4.05114243863e-10 5.52719213669e+01 4.98610375272e-01
1.19000000000e+00 2.94472685392e+00 4.55322294721e-05 1.07866139982e-02 2.00539822308e-10 2.00335389073e-10 4.05318545511e-10 5.55907446569e+01 5.07295810858e-01
1.20000000000e+00 2.89133137306e+00 4.68740263020e-05 1.07999423137e-02 2.00539845859e-10 2.00347298472e-10 4.05528312931e-10 5.58897491744e+01 5.16026820336e-01
